permutation,seed,wall_time_seconds,start_ram_mb,end_ram_mb,peak_ram_mb,peak_gpu_allocated_mb,peak_gpu_reserved_mb
1,1042,55.5690371,313.5546875,316.1796875,316.1796875,,
2,1043,57.50794059999998,316.16015625,316.234375,320.05859375,,
3,1044,55.249717799999985,316.21484375,320.2734375,320.59375,,
4,1045,55.45772800000003,320.25390625,320.234375,324.0546875,,
5,1046,53.161066000000005,320.21484375,320.2578125,324.078125,,
6,1047,57.33359530000001,320.23828125,320.203125,321.2890625,,
7,1048,56.39636660000002,320.18359375,320.19921875,324.0234375,,
8,1049,54.64542329999995,320.1796875,320.23046875,323.69140625,,
9,1050,54.18636629999992,320.2109375,320.19921875,323.9453125,,
10,1051,54.81100819999995,320.1796875,320.2578125,320.5546875,,
11,1052,55.86283979999996,320.23828125,320.26171875,321.234375,,
12,1053,61.18902019999996,320.2421875,320.203125,322.07421875,,
13,1054,61.27371259999995,320.18359375,320.203125,320.84765625,,
14,1055,63.91790739999999,320.18359375,320.203125,324.0234375,,
15,1056,52.65691570000013,320.18359375,320.19921875,324.0234375,,
16,1057,59.91882369999985,320.1796875,320.19921875,324.0234375,,
17,1058,55.373787199999924,320.1796875,320.203125,324.01953125,,
18,1059,52.7219113000001,320.18359375,320.203125,323.5625,,
19,1060,58.71955650000018,320.18359375,320.2578125,324.078125,,
20,1061,56.143488799999886,320.23828125,320.203125,322.4140625,,
